;; Dribble of #<IO TERMINAL-STREAM> started on 2015-11-30 09:34:51.
#<OUTPUT BUFFERED FILE-STREAM CHARACTER #P"gen20151130-093451.log">
[5]> (algoritmo-genetico 20 100 10 
#'custo-oportunidade #'custo-buracos #'heuristica-pontuacao-1)
  --> Individuo: 08 | Resultado: 380 | Parametros: 0.31 0.85 0.44
  --> Individuo: 09 | Resultado: 385 | Parametros: 0.73 0.39 0.56
  --> Individuo: 10 | Resultado: 365 | Parametros: 0.99 0.08 0.15
  --> Individuo: 11 | Resultado: 375 | Parametros: 0.56 0.81 0.18
  --> Individuo: 12 | Resultado: 380 | Parametros: 0.33 0.77 0.54
  --> Individuo: 13 | Resultado: 350 | Parametros: 0.19 0.23 0.96
  --> Individuo: 14 | Resultado: 345 | Parametros: 0.16 0.06 0.98
  --> Individuo: 15 | Resultado: 380 | Parametros: 0.51 0.64 0.57
  --> Individuo: 16 | Resultado: 360 | Parametros: 0.40 0.38 0.83
  --> Individuo: 17 | Resultado: 385 | Parametros: 0.56 0.64 0.53
  --> Individuo: 18 | Resultado: 380 | Parametros: 0.50 0.20 0.85
  --> Individuo: 19 | Resultado: 385 | Parametros: 0.70 0.34 0.63
  --> Individuo: 20 | Resultado: 380 | Parametros: 0.49 0.63 0.60
  --> Individuo: 21 | Resultado: 355 | Parametros: 0.36 0.49 0.79
  --> Individuo: 22 | Resultado: 380 | Parametros: 0.53 0.43 0.73
  --> Individuo: 23 | Resultado: 365 | Parametros: 0.40 0.42 0.81
  --> Individuo: 24 | Resultado: 380 | Parametros: 0.52 0.19 0.83
  --> Individuo: 25 | Resultado: 385 | Parametros: 0.63 0.47 0.61
  --> Individuo: 26 | Resultado: 385 | Parametros: 0.67 0.52 0.53
  --> Individuo: 27 | Resultado: 380 | Parametros: 0.67 0.05 0.74
  --> Individuo: 28 | Resultado: 355 | Parametros: 0.33 0.58 0.75
  --> Individuo: 29 | Resultado: 355 | Parametros: 0.16 0.73 0.66
  --> Individuo: 30 | Resultado: 290 | Parametros: 0.02 0.74 0.67
  --> Individuo: 31 | Resultado: 380 | Parametros: 0.45 0.65 0.61
  --> Individuo: 32 | Resultado: 385 | Parametros: 0.61 0.59 0.53
  --> Individuo: 33 | Resultado: 380 | Parametros: 0.36 0.81 0.47
  --> Individuo: 34 | Resultado: 365 | Parametros: 0.67 0.74 0.03
  --> Individuo: 35 | Resultado: 370 | Parametros: 0.35 0.62 0.71
  --> Individuo: 36 | Resultado: 380 | Parametros: 0.29 0.76 0.58
  --> Individuo: 37 | Resultado: 360 | Parametros: 0.36 0.56 0.74
  --> Individuo: 38 | Resultado: 380 | Parametros: 0.44 0.75 0.50
  --> Individuo: 39 | Resultado: 355 | Parametros: 0.27 0.73 0.62
  --> Individuo: 40 | Resultado: 380 | Parametros: 0.50 0.56 0.66
  --> Individuo: 41 | Resultado: 380 | Parametros: 0.54 0.14 0.83
  --> Individuo: 42 | Resultado: 305 | Parametros: 0.09 0.14 0.99
  --> Individuo: 43 | Resultado: 380 | Parametros: 0.33 0.73 0.60
  --> Individuo: 44 | Resultado: 290 | Parametros: 0.03 0.76 0.65
  --> Individuo: 45 | Resultado: 380 | Parametros: 0.48 0.02 0.88
  --> Individuo: 46 | Resultado: 355 | Parametros: 0.27 0.61 0.75
  --> Individuo: 47 | Resultado: 375 | Parametros: 0.52 0.82 0.25
  --> Individuo: 48 | Resultado: 385 | Parametros: 0.61 0.56 0.56
  --> Individuo: 49 | Resultado: 380 | Parametros: 0.56 0.42 0.72
  --> Individuo: 50 | Resultado: 380 | Parametros: 0.37 0.82 0.43
  --> Individuo: 51 | Resultado: 290 | Parametros: 0.04 0.34 0.94
  --> Individuo: 52 | Resultado: 355 | Parametros: 0.29 0.56 0.78
  --> Individuo: 53 | Resultado: 385 | Parametros: 0.52 0.68 0.51
  --> Individuo: 54 | Resultado: 385 | Parametros: 0.67 0.49 0.56
  --> Individuo: 55 | Resultado: 355 | Parametros: 0.26 0.72 0.64
  --> Individuo: 56 | Resultado: 380 | Parametros: 0.31 0.81 0.50
  --> Individuo: 57 | Resultado: 385 | Parametros: 0.74 0.36 0.56
  --> Individuo: 58 | Resultado: 380 | Parametros: 0.45 0.69 0.57
  --> Individuo: 59 | Resultado: 380 | Parametros: 0.66 0.28 0.70
  --> Individuo: 60 | Resultado: 380 | Parametros: 0.36 0.79 0.49
  --> Individuo: 61 | Resultado: 385 | Parametros: 0.24 0.96 0.15
  --> Individuo: 62 | Resultado: 380 | Parametros: 0.37 0.60 0.71
  --> Individuo: 63 | Resultado: 290 | Parametros: 0.03 0.60 0.80
  --> Individuo: 64 | Resultado: 380 | Parametros: 0.57 0.30 0.76
  --> Individuo: 65 | Resultado: 385 | Parametros: 0.81 0.07 0.59
  --> Individuo: 66 | Resultado: 380 | Parametros: 0.41 0.69 0.60
  --> Individuo: 67 | Resultado: 385 | Parametros: 0.56 0.64 0.53
  --> Individuo: 68 | Resultado: 380 | Parametros: 0.50 0.54 0.68
  --> Individuo: 69 | Resultado: 385 | Parametros: 0.58 0.61 0.53
  --> Individuo: 70 | Resultado: 375 | Parametros: 0.45 0.88 0.14
  --> Individuo: 71 | Resultado: 355 | Parametros: 0.40 0.14 0.91
  --> Individuo: 72 | Resultado: 380 | Parametros: 0.44 0.52 0.73
  --> Individuo: 73 | Resultado: 355 | Parametros: 0.33 0.58 0.74
  --> Individuo: 74 | Resultado: 380 | Parametros: 0.57 0.35 0.75
  --> Individuo: 75 | Resultado: 365 | Parametros: 0.34 0.65 0.68
  --> Individuo: 76 | Resultado: 385 | Parametros: 0.74 0.06 0.67
  --> Individuo: 77 | Resultado: 385 | Parametros: 0.87 0.12 0.47
  --> Individuo: 78 | Resultado: 375 | Parametros: 0.58 0.79 0.18
  --> Individuo: 79 | Resultado: 380 | Parametros: 0.47 0.67 0.57
  --> Individuo: 80 | Resultado: 385 | Parametros: 0.79 0.09 0.60
  --> Individuo: 81 | Resultado: 385 | Parametros: 0.74 0.54 0.40
  --> Individuo: 82 | Resultado: 365 | Parametros: 0.24 0.86 0.46
  --> Individuo: 83 | Resultado: 385 | Parametros: 0.80 0.03 0.60
  --> Individuo: 84 | Resultado: 385 | Parametros: 0.71 0.51 0.48
  --> Individuo: 85 | Resultado: 365 | Parametros: 0.98 0.08 0.16
  --> Individuo: 86 | Resultado: 385 | Parametros: 0.78 0.23 0.59
  --> Individuo: 87 | Resultado: 380 | Parametros: 0.67 0.23 0.71
  --> Individuo: 88 | Resultado: 385 | Parametros: 0.67 0.32 0.67
  --> Individuo: 89 | Resultado: 355 | Parametros: 0.34 0.48 0.81
  --> Individuo: 90 | Resultado: 380 | Parametros: 0.31 0.79 0.52
  --> Individuo: 91 | Resultado: 380 | Parametros: 0.41 0.53 0.74
  --> Individuo: 92 | Resultado: 355 | Parametros: 0.29 0.63 0.72
  --> Individuo: 93 | Resultado: 290 | Parametros: 0.04 0.64 0.77
  --> Individuo: 94 | Resultado: 380 | Parametros: 0.51 0.30 0.80
  --> Individuo: 95 | Resultado: 385 | Parametros: 0.65 0.49 0.59
  --> Individuo: 96 | Resultado: 375 | Parametros: 0.62 0.74 0.28
  --> Individuo: 97 | Resultado: 360 | Parametros: 0.16 0.70 0.70
  --> Individuo: 98 | Resultado: 290 | Parametros: 0.05 0.71 0.70
  --> Individuo: 99 | Resultado: 385 | Parametros: 0.64 0.62 0.45
  --> Individuo: 100 | Resultado: 375 | Parametros: 0.76 0.55 0.34

=============== Fim da Geracao 02 | Media: 369.8000 | Best: 385.0000 | Parametros: 0.64 0.57 0.51 ==============

  --> Individuo: 01 | Resultado: 405 | Parametros: 0.21 0.75 0.63
  --> Individuo: 02 | Resultado: 425 | Parametros: 0.63 0.54 0.56
  --> Individuo: 03 | Resultado: 425 | Parametros: 0.60 0.58 0.55
  --> Individuo: 04 | Resultado: 425 | Parametros: 0.36 0.80 0.49
  --> Individuo: 05 | Resultado: 425 | Parametros: 0.49 0.65 0.58
  --> Individuo: 06 | Resultado: 430 | Parametros: 0.51 0.02 0.86
  --> Individuo: 07 | Resultado: 415 | Parametros: 0.59 0.80 0.00
  --> Individuo: 08 | Resultado: 435 | Parametros: 0.49 0.85 0.18
  --> Individuo: 09 | Resultado: 395 | Parametros: 0.19 0.73 0.66
  --> Individuo: 10 | Resultado: 425 | Parametros: 0.52 0.60 0.61
  --> Individuo: 11 | Resultado: 430 | Parametros: 0.36 0.71 0.60
  --> Individuo: 12 | Resultado: 420 | Parametros: 0.28 0.85 0.45
  --> Individuo: 13 | Resultado: 430 | Parametros: 0.41 0.52 0.74
  --> Individuo: 14 | Resultado: 430 | Parametros: 0.43 0.53 0.73
  --> Individuo: 15 | Resultado: 435 | Parametros: 0.40 0.90 0.16
  --> Individuo: 16 | Resultado: 425 | Parametros: 0.41 0.80 0.43
  --> Individuo: 17 | Resultado: 425 | Parametros: 0.41 0.71 0.57
  --> Individuo: 18 | Resultado: 425 | Parametros: 0.85 0.04 0.53
  --> Individuo: 19 | Resultado: 405 | Parametros: 0.20 0.76 0.61
  --> Individuo: 20 | Resultado: 355 | Parametros: 0.06 0.87 0.48
  --> Individuo: 21 | Resultado: 425 | Parametros: 0.52 0.60 0.61
  --> Individuo: 22 | Resultado: 425 | Parametros: 0.54 0.69 0.49
  --> Individuo: 23 | Resultado: 390 | Parametros: 0.26 0.71 0.66
  --> Individuo: 24 | Resultado: 430 | Parametros: 0.35 0.67 0.66
  --> Individuo: 25 | Resultado: 420 | Parametros: 0.49 0.44 0.75
  --> Individuo: 26 | Resultado: 415 | Parametros: 0.37 0.74 0.56
  --> Individuo: 27 | Resultado: 430 | Parametros: 0.49 0.05 0.87
  --> Individuo: 28 | Resultado: 420 | Parametros: 0.65 0.53 0.55
  --> Individuo: 29 | Resultado: 425 | Parametros: 0.53 0.43 0.73
  --> Individuo: 30 | Resultado: 425 | Parametros: 0.55 0.67 0.50
  --> Individuo: 31 | Resultado: 420 | Parametros: 0.53 0.19 0.83
  --> Individuo: 32 | Resultado: 430 | Parametros: 0.51 0.14 0.85
  --> Individuo: 33 | Resultado: 430 | Parametros: 0.33 0.72 0.61
  --> Individuo: 34 | Resultado: 405 | Parametros: 0.28 0.49 0.83
  --> Individuo: 35 | Resultado: 420 | Parametros: 0.50 0.40 0.77
  --> Individuo: 36 | Resultado: 430 | Parametros: 0.43 0.46 0.78
  --> Individuo: 37 | Resultado: 420 | Parametros: 0.67 0.52 0.53
  --> Individuo: 38 | Resultado: 425 | Parametros: 0.56 0.64 0.53
  --> Individuo: 39 | Resultado: 425 | Parametros: 0.68 0.26 0.68
  --> Individuo: 40 | Resultado: 425 | Parametros: 0.65 0.04 0.76
  --> Individuo: 41 | Resultado: 425 | Parametros: 0.49 0.55 0.67
  --> Individuo: 42 | Resultado: 405 | Parametros: 0.30 0.16 0.94
  --> Individuo: 43 | Resultado: 390 | Parametros: 0.37 0.31 0.88
  --> Individuo: 44 | Resultado: 420 | Parametros: 0.54 0.20 0.82
  --> Individuo: 45 | Resultado: 430 | Parametros: 0.32 0.73 0.61
  --> Individuo: 46 | Resultado: 420 | Parametros: 0.75 0.36 0.55
  --> Individuo: 47 | Resultado: 335 | Parametros: 0.05 0.79 0.60
  --> Individuo: 48 | Resultado: 390 | Parametros: 0.28 0.68 0.67
