;; Dribble of #<IO TERMINAL-STREAM> started on 2015-11-30 09:38:02.
#<OUTPUT BUFFERED FILE-STREAM CHARACTER #P"gen20151130-093802.log">
[3]> (algoritmo-genetico 20 100 10 #'custo-oportunidade #'heuristica-pontuacao-1 #'custo-buracos #'heuristica-pontuacao-2 #'custo-altura-agregada)
  --> Individuo: 11 | Resultado: 415 | Parametros: 0.47 0.39 0.31 0.66 0.31
  --> Individuo: 12 | Resultado: 430 | Parametros: 0.60 0.06 0.58 0.22 0.50
  --> Individuo: 13 | Resultado: 390 | Parametros: 0.29 0.30 0.02 0.89 0.17
  --> Individuo: 14 | Resultado: 415 | Parametros: 0.30 0.31 0.48 0.14 0.75
  --> Individuo: 15 | Resultado: 415 | Parametros: 0.39 0.49 0.40 0.46 0.48
  --> Individuo: 16 | Resultado: 450 | Parametros: 0.66 0.02 0.51 0.50 0.23
  --> Individuo: 17 | Resultado: 390 | Parametros: 0.32 0.51 0.47 0.55 0.34
  --> Individuo: 18 | Resultado: 415 | Parametros: 0.40 0.25 0.28 0.77 0.32
  --> Individuo: 19 | Resultado: 425 | Parametros: 0.25 0.21 0.57 0.30 0.69
  --> Individuo: 20 | Resultado: 370 | Parametros: 0.28 0.52 0.18 0.78 0.12
  --> Individuo: 21 | Resultado: 390 | Parametros: 0.25 0.46 0.47 0.33 0.63
  --> Individuo: 22 | Resultado: 450 | Parametros: 0.56 0.02 0.15 0.33 0.75
  --> Individuo: 23 | Resultado: 340 | Parametros: 0.15 0.37 0.17 0.84 0.32
  --> Individuo: 24 | Resultado: 415 | Parametros: 0.44 0.47 0.52 0.52 0.21
  --> Individuo: 25 | Resultado: 450 | Parametros: 0.51 0.09 0.61 0.50 0.34
  --> Individuo: 26 | Resultado: 330 | Parametros: 0.12 0.37 0.05 0.70 0.59
  --> Individuo: 27 | Resultado: 430 | Parametros: 0.47 0.30 0.55 0.59 0.18
  --> Individuo: 28 | Resultado: 395 | Parametros: 0.39 0.65 0.33 0.48 0.29
  --> Individuo: 29 | Resultado: 415 | Parametros: 0.42 0.53 0.54 0.43 0.27
  --> Individuo: 30 | Resultado: 415 | Parametros: 0.35 0.65 0.65 0.15 0.10
  --> Individuo: 31 | Resultado: 415 | Parametros: 0.20 0.10 0.89 0.40 0.04
  --> Individuo: 32 | Resultado: 435 | Parametros: 0.68 0.47 0.05 0.07 0.55
  --> Individuo: 33 | Resultado: 305 | Parametros: 0.10 0.47 0.20 0.71 0.47
  --> Individuo: 34 | Resultado: 340 | Parametros: 0.22 0.61 0.18 0.59 0.46
  --> Individuo: 35 | Resultado: 415 | Parametros: 0.41 0.52 0.53 0.35 0.40
  --> Individuo: 36 | Resultado: 440 | Parametros: 0.54 0.31 0.21 0.45 0.61
  --> Individuo: 37 | Resultado: 415 | Parametros: 0.39 0.51 0.56 0.45 0.27
  --> Individuo: 38 | Resultado: 440 | Parametros: 0.51 0.38 0.14 0.61 0.46
  --> Individuo: 39 | Resultado: 430 | Parametros: 0.53 0.40 0.42 0.60 0.17
  --> Individuo: 40 | Resultado: 455 | Parametros: 0.59 0.02 0.44 0.31 0.59
  --> Individuo: 41 | Resultado: 415 | Parametros: 0.48 0.63 0.19 0.53 0.22
  --> Individuo: 42 | Resultado: 415 | Parametros: 0.47 0.76 0.04 0.41 0.21
  --> Individuo: 43 | Resultado: 340 | Parametros: 0.14 0.21 0.07 0.96 0.08
  --> Individuo: 44 | Resultado: 450 | Parametros: 0.50 0.32 0.50 0.04 0.63
  --> Individuo: 45 | Resultado: 445 | Parametros: 0.43 0.19 0.87 0.14 0.07
  --> Individuo: 46 | Resultado: 440 | Parametros: 0.68 0.37 0.43 0.21 0.41
  --> Individuo: 47 | Resultado: 415 | Parametros: 0.37 0.25 0.81 0.37 0.07
  --> Individuo: 48 | Resultado: 415 | Parametros: 0.44 0.61 0.23 0.47 0.41
  --> Individuo: 49 | Resultado: 305 | Parametros: 0.08 0.63 0.14 0.59 0.48
  --> Individuo: 50 | Resultado: 395 | Parametros: 0.19 0.03 0.70 0.51 0.47
  --> Individuo: 51 | Resultado: 420 | Parametros: 0.33 0.53 0.13 0.15 0.75
  --> Individuo: 52 | Resultado: 305 | Parametros: 0.04 0.33 0.47 0.82 0.04
  --> Individuo: 53 | Resultado: 430 | Parametros: 0.55 0.58 0.29 0.44 0.28
  --> Individuo: 54 | Resultado: 400 | Parametros: 0.34 0.56 0.57 0.43 0.26
  --> Individuo: 55 | Resultado: 365 | Parametros: 0.09 0.27 0.60 0.09 0.74
  --> Individuo: 56 | Resultado: 350 | Parametros: 0.16 0.25 0.67 0.56 0.37
  --> Individuo: 57 | Resultado: 415 | Parametros: 0.34 0.29 0.69 0.56 0.11
  --> Individuo: 58 | Resultado: 390 | Parametros: 0.27 0.22 0.61 0.64 0.33
  --> Individuo: 59 | Resultado: 415 | Parametros: 0.49 0.46 0.44 0.58 0.15
  --> Individuo: 60 | Resultado: 445 | Parametros: 0.61 0.22 0.48 0.29 0.52
  --> Individuo: 61 | Resultado: 380 | Parametros: 0.08 0.27 0.61 0.02 0.74
  --> Individuo: 62 | Resultado: 430 | Parametros: 0.29 0.32 0.49 0.15 0.74
  --> Individuo: 63 | Resultado: 390 | Parametros: 0.35 0.72 0.11 0.45 0.39
  --> Individuo: 64 | Resultado: 390 | Parametros: 0.39 0.70 0.26 0.52 0.13
  --> Individuo: 65 | Resultado: 435 | Parametros: 0.41 0.44 -0.15 0.31 0.72
  --> Individuo: 66 | Resultado: 430 | Parametros: 0.50 0.10 0.15 0.04 0.85
