;; Dribble of #<IO TERMINAL-STREAM> started on 2015-11-30 08:46:21.
#<OUTPUT BUFFERED FILE-STREAM CHARACTER #P"gen20151130-084621.log">
[16]> (algoritmo-genetico 10 10 2 #'custo-oportunidade #'custo-buracos #'heuristica-pontuacao-1)
  --> Individuo: 05 | Resultado: 410 | Constantes: 0.71 0.03 0.70
  --> Individuo: 06 | Resultado: 420 | Constantes: 0.72 0.03 0.70
  --> Individuo: 07 | Resultado: 420 | Constantes: 0.71 0.03 0.70
  --> Individuo: 08 | Resultado: 420 | Constantes: 0.72 0.03 0.70
  --> Individuo: 09 | Resultado: 410 | Constantes: 0.55 0.09 0.83
  --> Individuo: 10 | Resultado: 430 | Constantes: 0.49 0.57 0.66

=============== Fim da Geracao 16 | Media: 423.0000 | Best: 430.0000 | Constantes: 0.64 0.03 0.77 ==============

  --> Individuo: 01 | Resultado: 380 | Constantes: 0.71 0.03 0.70
  --> Individuo: 02 | Resultado: 380 | Constantes: 0.71 0.03 0.70
  --> Individuo: 03 | Resultado: 380 | Constantes: 0.61 0.10 0.78
  --> Individuo: 04 | Resultado: 380 | Constantes: 0.65 0.03 0.76
  --> Individuo: 05 | Resultado: 380 | Constantes: 0.71 0.03 0.71
  --> Individuo: 06 | Resultado: 380 | Constantes: 0.70 0.05 0.71
  --> Individuo: 07 | Resultado: 380 | Constantes: 0.67 0.04 0.74
  --> Individuo: 08 | Resultado: 380 | Constantes: 0.68 0.08 0.73
  --> Individuo: 09 | Resultado: 380 | Constantes: 0.69 0.05 0.72
  --> Individuo: 10 | Resultado: 380 | Constantes: 0.69 0.05 0.72

=============== Fim da Geracao 17 | Media: 380.0000 | Best: 380.0000 | Constantes: 0.71 0.03 0.70 ==============

  --> Individuo: 01 | Resultado: 400 | Constantes: 0.68 0.08 0.73
  --> Individuo: 02 | Resultado: 400 | Constantes: 0.68 0.08 0.73
  --> Individuo: 03 | Resultado: 400 | Constantes: 0.68 0.05 0.73
  --> Individuo: 04 | Resultado: 400 | Constantes: 0.68 0.03 0.74
  --> Individuo: 05 | Resultado: 400 | Constantes: 0.71 0.05 0.70
  --> Individuo: 06 | Resultado: 400 | Constantes: 0.71 0.03 0.70
  --> Individuo: 07 | Resultado: 400 | Constantes: 0.68 0.08 0.73
  --> Individuo: 08 | Resultado: 400 | Constantes: 0.68 0.08 0.73
  --> Individuo: 09 | Resultado: 400 | Constantes: 0.69 0.08 0.72
  --> Individuo: 10 | Resultado: 400 | Constantes: 0.70 0.03 0.72

=============== Fim da Geracao 18 | Media: 400.0000 | Best: 400.0000 | Constantes: 0.68 0.08 0.73 ==============

  --> Individuo: 01 | Resultado: 430 | Constantes: 0.68 0.05 0.73
  --> Individuo: 02 | Resultado: 430 | Constantes: 0.68 0.03 0.73
  --> Individuo: 03 | Resultado: 430 | Constantes: 0.69 0.08 0.72
  --> Individuo: 04 | Resultado: 430 | Constantes: 0.69 0.08 0.72
  --> Individuo: 05 | Resultado: 430 | Constantes: 0.68 0.08 0.73
  --> Individuo: 06 | Resultado: 430 | Constantes: 0.68 0.05 0.73
  --> Individuo: 07 | Resultado: 430 | Constantes: 0.69 0.03 0.72
  --> Individuo: 08 | Resultado: 430 | Constantes: 0.69 0.05 0.72
  --> Individuo: 09 | Resultado: 430 | Constantes: 0.69 0.05 0.73
  --> Individuo: 10 | Resultado: 430 | Constantes: 0.69 0.08 0.72

=============== Fim da Geracao 19 | Media: 430.0000 | Best: 430.0000 | Constantes: 0.68 0.05 0.73 ==============

